source,fixture_id,match_id,group,match_round,team_a,team_b,normalized_team_a,normalized_team_b,canonical_match_key,status,candidate_market_keys,reason
model,G-A-1-1,G-A-1-1,A,1,Mexico,South Africa,mexico,south africa,A|mexico|south africa,matched,A|mexico|south africa,fixture_id; orientation=same
market,G-A-1-1,G-A-1-1,A,1,Mexico,South Africa,mexico,south africa,A|mexico|south africa,matched,,fixture_id; orientation=same
model,G-A-1-2,G-A-1-2,A,1,South Korea,Czechia,south korea,czechia,A|czechia|south korea,matched,A|czechia|south korea,fixture_id; orientation=same
market,G-A-1-2,G-A-1-2,A,1,South Korea,Czechia,south korea,czechia,A|czechia|south korea,matched,,fixture_id; orientation=same
model,G-B-1-1,G-B-1-1,B,1,Canada,Bosnia,canada,bosnia,B|bosnia|canada,matched,B|bosnia|canada,fixture_id; orientation=same
market,G-B-1-1,G-B-1-1,B,1,Canada,Bosnia,canada,bosnia,B|bosnia|canada,matched,,fixture_id; orientation=same
model,G-D-1-1,G-D-1-1,D,1,USA,Paraguay,usa,paraguay,D|paraguay|usa,matched,D|paraguay|usa,fixture_id; orientation=same
market,G-D-1-1,G-D-1-1,D,1,USA,Paraguay,usa,paraguay,D|paraguay|usa,matched,,fixture_id; orientation=same
model,G-B-1-2,G-B-1-2,B,1,Qatar,Switzerland,qatar,switzerland,B|qatar|switzerland,matched,B|qatar|switzerland,fixture_id; orientation=same
market,G-B-1-2,G-B-1-2,B,1,Qatar,Switzerland,qatar,switzerland,B|qatar|switzerland,matched,,fixture_id; orientation=same
model,G-C-1-1,G-C-1-1,C,1,Brazil,Morocco,brazil,morocco,C|brazil|morocco,matched,C|brazil|morocco,fixture_id; orientation=same
market,G-C-1-1,G-C-1-1,C,1,Brazil,Morocco,brazil,morocco,C|brazil|morocco,matched,,fixture_id; orientation=same
model,G-C-1-2,G-C-1-2,C,1,Haiti,Scotland,haiti,scotland,C|haiti|scotland,matched,C|haiti|scotland,fixture_id; orientation=same
market,G-C-1-2,G-C-1-2,C,1,Haiti,Scotland,haiti,scotland,C|haiti|scotland,matched,,fixture_id; orientation=same
model,G-D-1-2,G-D-1-2,D,1,Australia,Türkiye,australia,türkiye,D|australia|türkiye,matched,D|australia|türkiye,fixture_id; orientation=same
market,G-D-1-2,G-D-1-2,D,1,Australia,Türkiye,australia,türkiye,D|australia|türkiye,matched,,fixture_id; orientation=same
model,G-E-1-1,G-E-1-1,E,1,Germany,Curaçao,germany,curaçao,E|curaçao|germany,matched,E|curaçao|germany,fixture_id; orientation=same
market,G-E-1-1,G-E-1-1,E,1,Germany,Curaçao,germany,curaçao,E|curaçao|germany,matched,,fixture_id; orientation=same
model,G-F-1-1,G-F-1-1,F,1,Netherlands,Japan,netherlands,japan,F|japan|netherlands,matched,F|japan|netherlands,fixture_id; orientation=same
market,G-F-1-1,G-F-1-1,F,1,Netherlands,Japan,netherlands,japan,F|japan|netherlands,matched,,fixture_id; orientation=same
model,G-E-1-2,G-E-1-2,E,1,Ivory Coast,Ecuador,ivory coast,ecuador,E|ecuador|ivory coast,matched,E|ecuador|ivory coast,fixture_id; orientation=same
market,G-E-1-2,G-E-1-2,E,1,Ivory Coast,Ecuador,ivory coast,ecuador,E|ecuador|ivory coast,matched,,fixture_id; orientation=same
model,G-F-1-2,G-F-1-2,F,1,Sweden,Tunisia,sweden,tunisia,F|sweden|tunisia,matched,F|sweden|tunisia,fixture_id; orientation=same
market,G-F-1-2,G-F-1-2,F,1,Sweden,Tunisia,sweden,tunisia,F|sweden|tunisia,matched,,fixture_id; orientation=same
model,G-H-1-1,G-H-1-1,H,1,Spain,Cape Verde,spain,cape verde,H|cape verde|spain,matched,H|cape verde|spain,fixture_id; orientation=same
market,G-H-1-1,G-H-1-1,H,1,Spain,Cape Verde,spain,cape verde,H|cape verde|spain,matched,,fixture_id; orientation=same
model,G-G-1-1,G-G-1-1,G,1,Belgium,Egypt,belgium,egypt,G|belgium|egypt,matched,G|belgium|egypt,fixture_id; orientation=same
market,G-G-1-1,G-G-1-1,G,1,Belgium,Egypt,belgium,egypt,G|belgium|egypt,matched,,fixture_id; orientation=same
model,G-H-1-2,G-H-1-2,H,1,Saudi Arabia,Uruguay,saudi arabia,uruguay,H|saudi arabia|uruguay,matched,H|saudi arabia|uruguay,fixture_id; orientation=same
market,G-H-1-2,G-H-1-2,H,1,Saudi Arabia,Uruguay,saudi arabia,uruguay,H|saudi arabia|uruguay,matched,,fixture_id; orientation=same
model,G-G-1-2,G-G-1-2,G,1,Iran,New Zealand,iran,new zealand,G|iran|new zealand,matched,G|iran|new zealand,fixture_id; orientation=same
market,G-G-1-2,G-G-1-2,G,1,Iran,New Zealand,iran,new zealand,G|iran|new zealand,matched,,fixture_id; orientation=same
model,G-I-1-1,G-I-1-1,I,1,France,Senegal,france,senegal,I|france|senegal,matched,I|france|senegal,fixture_id; orientation=same
market,G-I-1-1,G-I-1-1,I,1,France,Senegal,france,senegal,I|france|senegal,matched,,fixture_id; orientation=same
model,G-I-1-2,G-I-1-2,I,1,Iraq,Norway,iraq,norway,I|iraq|norway,matched,I|iraq|norway,fixture_id; orientation=same
market,G-I-1-2,G-I-1-2,I,1,Iraq,Norway,iraq,norway,I|iraq|norway,matched,,fixture_id; orientation=same
model,G-J-1-1,G-J-1-1,J,1,Argentina,Algeria,argentina,algeria,J|algeria|argentina,matched,J|algeria|argentina,fixture_id; orientation=same
market,G-J-1-1,G-J-1-1,J,1,Argentina,Algeria,argentina,algeria,J|algeria|argentina,matched,,fixture_id; orientation=same
model,G-J-1-2,G-J-1-2,J,1,Austria,Jordan,austria,jordan,J|austria|jordan,matched,J|austria|jordan,fixture_id; orientation=same
market,G-J-1-2,G-J-1-2,J,1,Austria,Jordan,austria,jordan,J|austria|jordan,matched,,fixture_id; orientation=same
model,G-K-1-1,G-K-1-1,K,1,Portugal,DR Congo,portugal,dr congo,K|dr congo|portugal,matched,K|dr congo|portugal,fixture_id; orientation=same
market,G-K-1-1,G-K-1-1,K,1,Portugal,DR Congo,portugal,dr congo,K|dr congo|portugal,matched,,fixture_id; orientation=same
model,G-L-1-1,G-L-1-1,L,1,England,Croatia,england,croatia,L|croatia|england,matched,L|croatia|england,fixture_id; orientation=same
market,G-L-1-1,G-L-1-1,L,1,England,Croatia,england,croatia,L|croatia|england,matched,,fixture_id; orientation=same
model,G-L-1-2,G-L-1-2,L,1,Ghana,Panama,ghana,panama,L|ghana|panama,matched,L|ghana|panama,fixture_id; orientation=same
market,G-L-1-2,G-L-1-2,L,1,Ghana,Panama,ghana,panama,L|ghana|panama,matched,,fixture_id; orientation=same
model,G-K-1-2,G-K-1-2,K,1,Uzbekistan,Colombia,uzbekistan,colombia,K|colombia|uzbekistan,matched,K|colombia|uzbekistan,fixture_id; orientation=same
market,G-K-1-2,G-K-1-2,K,1,Uzbekistan,Colombia,uzbekistan,colombia,K|colombia|uzbekistan,matched,,fixture_id; orientation=same
