fixture_id,team_a,team_b,has_1x2,has_exact_score,exact_score_markets_count,has_over_under_goals,over_under_markets_count,has_btts,btts_markets_count,has_player_props,player_props_count,total_candidates,warnings
G-A-1-1,Mexico,South Africa,False,False,0,False,0,False,0,False,0,2,not found
G-A-1-2,South Korea,Czechia,False,False,0,False,0,False,0,False,0,2,not found
G-B-1-1,Canada,Bosnia,False,False,0,False,0,False,0,False,0,2,not found
G-D-1-1,USA,Paraguay,False,False,0,False,0,False,0,False,0,0,not found
G-B-1-2,Qatar,Switzerland,False,False,0,False,0,False,0,False,0,2,not found
G-C-1-1,Brazil,Morocco,False,False,0,False,0,False,0,False,0,2,not found
G-C-1-2,Haiti,Scotland,False,False,0,False,0,False,0,False,0,2,not found
G-D-1-2,Australia,Türkiye,False,False,0,False,0,False,0,False,0,2,not found
G-E-1-1,Germany,Curaçao,False,False,0,False,0,False,0,False,0,2,not found
G-F-1-1,Netherlands,Japan,False,False,0,False,0,False,0,False,0,2,not found
G-E-1-2,Ivory Coast,Ecuador,False,False,0,False,0,False,0,False,0,0,not found
G-F-1-2,Sweden,Tunisia,False,False,0,False,0,False,0,False,0,2,not found
G-H-1-1,Spain,Cape Verde,False,False,0,False,0,False,0,False,0,0,not found
G-G-1-1,Belgium,Egypt,False,False,0,False,0,False,0,False,0,2,not found
G-H-1-2,Saudi Arabia,Uruguay,False,False,0,False,0,False,0,False,0,2,not found
G-G-1-2,Iran,New Zealand,False,False,0,False,0,False,0,False,0,2,not found
G-I-1-1,France,Senegal,False,False,0,False,0,False,0,False,0,2,not found
G-I-1-2,Iraq,Norway,False,False,0,False,0,False,0,False,0,2,not found
G-J-1-1,Argentina,Algeria,False,False,0,False,0,False,0,False,0,2,not found
G-J-1-2,Austria,Jordan,False,False,0,False,0,False,0,False,0,2,not found
G-K-1-1,Portugal,DR Congo,False,False,0,False,0,False,0,False,0,2,not found
G-L-1-1,England,Croatia,False,False,0,False,0,False,0,False,0,4,not found
G-L-1-2,Ghana,Panama,False,False,0,False,0,False,0,False,0,2,not found
G-K-1-2,Uzbekistan,Colombia,False,False,0,False,0,False,0,False,0,2,not found
