player,team,old_expected_goals,new_expected_goals,delta_expected_goals,old_p_top_scorer,new_p_top_scorer,delta_p_top_scorer,old_recommended_score_value,new_recommended_score_value,delta_recommended_score_value,old_rank,new_rank,delta_rank
Alexander Isak,Sweden,1.87456,1.87456,0.0,0.00026,0.00026,0.0,1.87469,1.87469,0.0,60.0,60.0,0.0
Alvaro Morata,Spain,1.05474,1.05474,0.0,0.0,0.0,0.0,1.05474,1.05474,0.0,87.0,87.0,0.0
Andrej Kramaric,Croatia,1.34184,1.34184,0.0,2e-05,2e-05,0.0,1.34185,1.34185,0.0,77.0,77.0,0.0
Ayase Ueda,Japan,0.92662,0.92662,0.0,0.0,0.0,0.0,0.92662,0.92662,0.0,91.0,91.0,0.0
Breel Embolo,Switzerland,1.1818,1.1818,0.0,0.0,0.0,0.0,1.1818,1.1818,0.0,82.0,82.0,0.0
Bukayo Saka,England,1.3692,1.3692,0.0,2e-05,2e-05,0.0,1.36921,1.36921,0.0,76.0,76.0,0.0
Chris Wood,New Zealand,1.64028,1.64028,0.0,0.0001,0.0001,0.0,1.64033,1.64033,0.0,67.0,67.0,0.0
Christian Pulisic,USA,1.972,1.972,0.0,0.00018,0.00018,0.0,1.97209,1.97209,0.0,56.0,56.0,0.0
Cody Gakpo,Netherlands,1.52436,1.52436,0.0,6e-05,6e-05,0.0,1.52439,1.52439,0.0,72.0,72.0,0.0
Cristiano Ronaldo,Portugal,1.6481,1.6481,0.0,2e-05,2e-05,0.0,1.64811,1.64811,0.0,66.0,66.0,0.0
Darwin Nunez,Uruguay,1.59958,1.59958,0.0,2e-05,2e-05,0.0,1.59959,1.59959,0.0,68.0,68.0,0.0
Endrick,Brazil,0.49762,0.49762,0.0,0.0,0.0,0.0,0.49762,0.49762,0.0,93.0,93.0,0.0
Enner Valencia,Ecuador,1.88432,1.88432,0.0,0.0,0.0,0.0,1.88432,1.88432,0.0,59.0,59.0,0.0
Erling Haaland,Norway,2.95214,2.95214,0.0,0.00308,0.00308,0.0,2.95368,2.95368,0.0,49.0,49.0,0.0
Florian Wirtz,Germany,1.31826,1.31826,0.0,2e-05,2e-05,0.0,1.31827,1.31827,0.0,78.0,78.0,0.0
Harry Kane,England,2.9681,2.9681,0.0,0.00206,0.00206,0.0,2.9691300000000003,2.9691300000000003,0.0,48.0,48.0,0.0
Harry Souttar,Australia,0.43404,0.43404,0.0,0.0,0.0,0.0,0.43404,0.43404,0.0,94.0,94.0,0.0
Jamal Musiala,Germany,1.43186,1.43186,0.0,4e-05,4e-05,0.0,1.4318799999999998,1.4318799999999998,0.0,74.0,74.0,0.0
Jonathan David,Canada,1.79428,1.79428,0.0,0.00012,0.00012,0.0,1.79434,1.79434,0.0,63.0,63.0,0.0
Jude Bellingham,England,1.22052,1.22052,0.0,0.0,0.0,0.0,1.22052,1.22052,0.0,80.0,80.0,0.0
Julian Alvarez,Argentina,1.74404,1.74404,0.0,4e-05,4e-05,0.0,1.74406,1.74406,0.0,64.0,64.0,0.0
Kai Havertz,Germany,1.13908,1.13908,0.0,0.0,0.0,0.0,1.13908,1.13908,0.0,83.0,83.0,0.0
Kenan Yildiz,Türkiye,1.11004,1.11004,0.0,0.0,0.0,0.0,1.11004,1.11004,0.0,84.0,84.0,0.0
Kylian Mbappe,France,3.71876,3.71876,0.0,0.0078,0.0078,0.0,3.72266,3.72266,0.0,37.0,37.0,0.0
Lamine Yamal,Spain,2.016,2.016,0.0,2e-05,2e-05,0.0,2.01601,2.01601,0.0,54.0,54.0,0.0
Lautaro Martinez,Argentina,1.71618,1.71618,0.0,2e-05,2e-05,0.0,1.71619,1.71619,0.0,65.0,65.0,0.0
Lionel Messi,Argentina,2.50032,2.50032,0.0,0.00044,0.00044,0.0,2.50054,2.50054,0.0,51.0,51.0,0.0
Luis Diaz,Colombia,2.24694,2.24694,0.0,0.00024,0.00024,0.0,2.24706,2.24706,0.0,53.0,53.0,0.0
Lyle Foster,South Africa,0.70634,0.70634,0.0,0.0,0.0,0.0,0.70634,0.70634,0.0,92.0,92.0,0.0
Mehdi Taremi,Iran,1.91636,1.91636,0.0,0.00012,0.00012,0.0,1.91642,1.91642,0.0,57.0,57.0,0.0
Memphis Depay,Netherlands,1.10014,1.10014,0.0,0.0,0.0,0.0,1.10014,1.10014,0.0,85.0,85.0,0.0
Miguel Almiron,Paraguay,0.9543,0.9543,0.0,0.0,0.0,0.0,0.9543,0.9543,0.0,90.0,90.0,0.0
Mohamed Salah,Egypt,2.54054,2.54054,0.0,0.00104,0.00104,0.0,2.54106,2.54106,0.0,50.0,50.0,0.0
Mohammed Kudus,Ghana,1.21288,1.21288,0.0,0.0,0.0,0.0,1.21288,1.21288,0.0,81.0,81.0,0.0
Nico Williams,Spain,1.53608,1.53608,0.0,2e-05,2e-05,0.0,1.53609,1.53609,0.0,70.0,70.0,0.0
Other Algeria,Algeria,4.68758,4.68758,0.0,0.02924,0.02924,0.0,4.7022,4.7022,0.0,19.0,19.0,0.0
Other Argentina,Argentina,3.67262,3.67262,0.0,0.006,0.006,0.0,3.67562,3.67562,0.0,38.0,38.0,0.0
Other Australia,Australia,4.99962,4.99962,0.0,0.03686,0.03686,0.0,5.018050000000001,5.018050000000001,0.0,17.0,17.0,0.0
Other Austria,Austria,5.61958,5.61958,0.0,0.0586,0.0586,0.0,5.64888,5.64888,0.0,6.0,6.0,0.0
Other Belgium,Belgium,5.14864,5.14864,0.0,0.03382,0.03382,0.0,5.1655500000000005,5.1655500000000005,0.0,12.0,12.0,0.0
Other Bosnia,Bosnia,5.11542,5.11542,0.0,0.03808,0.03808,0.0,5.134460000000001,5.134460000000001,0.0,14.0,14.0,0.0
Other Brazil,Brazil,4.64108,4.64108,0.0,0.02,0.02,0.0,4.651079999999999,4.651079999999999,0.0,20.0,20.0,0.0
Other Canada,Canada,3.73196,3.73196,0.0,0.0089,0.0089,0.0,3.73641,3.73641,0.0,34.0,34.0,0.0
Other Cape Verde,Cape Verde,3.49534,3.49534,0.0,0.0081,0.0081,0.0,3.49939,3.49939,0.0,40.0,40.0,0.0
Other Colombia,Colombia,5.57094,5.57094,0.0,0.05482,0.05482,0.0,5.59835,5.59835,0.0,8.0,8.0,0.0
Other Croatia,Croatia,5.70238,5.70238,0.0,0.05924,0.05924,0.0,5.732,5.732,0.0,5.0,5.0,0.0
Other Curaçao,Curaçao,3.09186,3.09186,0.0,0.00378,0.00378,0.0,3.09375,3.09375,0.0,46.0,46.0,0.0
Other Czechia,Czechia,4.04044,4.04044,0.0,0.0131,0.0131,0.0,4.04699,4.04699,0.0,26.0,26.0,0.0
Other DR Congo,DR Congo,4.27922,4.27922,0.0,0.02132,0.02132,0.0,4.289879999999999,4.289879999999999,0.0,25.0,25.0,0.0
Other Ecuador,Ecuador,5.80898,5.80898,0.0,0.05652,0.05652,0.0,5.83724,5.83724,0.0,4.0,4.0,0.0
Other Egypt,Egypt,3.25628,3.25628,0.0,0.00388,0.00388,0.0,3.25822,3.25822,0.0,44.0,44.0,0.0
Other England,England,2.98826,2.98826,0.0,0.00198,0.00198,0.0,2.98925,2.98925,0.0,47.0,47.0,0.0
Other France,France,3.77974,3.77974,0.0,0.0083,0.0083,0.0,3.78389,3.78389,0.0,33.0,33.0,0.0
Other Germany,Germany,3.73064,3.73064,0.0,0.00752,0.00752,0.0,3.7344,3.7344,0.0,35.0,35.0,0.0
Other Ghana,Ghana,3.09786,3.09786,0.0,0.00456,0.00456,0.0,3.10014,3.10014,0.0,45.0,45.0,0.0
Other Haiti,Haiti,3.34298,3.34298,0.0,0.00608,0.00608,0.0,3.34602,3.34602,0.0,43.0,43.0,0.0
Other Iran,Iran,3.90194,3.90194,0.0,0.00968,0.00968,0.0,3.90678,3.90678,0.0,30.0,30.0,0.0
Other Iraq,Iraq,3.81768,3.81768,0.0,0.01466,0.01466,0.0,3.82501,3.82501,0.0,32.0,32.0,0.0
Other Ivory Coast,Ivory Coast,5.11766,5.11766,0.0,0.03632,0.03632,0.0,5.13582,5.13582,0.0,13.0,13.0,0.0
Other Japan,Japan,5.32634,5.32634,0.0,0.05196,0.05196,0.0,5.35232,5.35232,0.0,10.0,10.0,0.0
Other Jordan,Jordan,3.9896,3.9896,0.0,0.01486,0.01486,0.0,3.99703,3.99703,0.0,28.0,28.0,0.0
Other Mexico,Mexico,5.61024,5.61024,0.0,0.04892,0.04892,0.0,5.6347000000000005,5.6347000000000005,0.0,7.0,7.0,0.0
Other Morocco,Morocco,5.02312,5.02312,0.0,0.03426,0.03426,0.0,5.04025,5.04025,0.0,16.0,16.0,0.0
Other Netherlands,Netherlands,4.46128,4.46128,0.0,0.02394,0.02394,0.0,4.47325,4.47325,0.0,22.0,22.0,0.0
Other New Zealand,New Zealand,1.99784,1.99784,0.0,0.00032,0.00032,0.0,1.998,1.998,0.0,55.0,55.0,0.0
Other Norway,Norway,3.59868,3.59868,0.0,0.00932,0.00932,0.0,3.60334,3.60334,0.0,39.0,39.0,0.0
Other Panama,Panama,3.85018,3.85018,0.0,0.01234,0.01234,0.0,3.85635,3.85635,0.0,31.0,31.0,0.0
Other Paraguay,Paraguay,3.46824,3.46824,0.0,0.00792,0.00792,0.0,3.4722000000000004,3.4722000000000004,0.0,41.0,41.0,0.0
Other Portugal,Portugal,5.25858,5.25858,0.0,0.04388,0.04388,0.0,5.28052,5.28052,0.0,11.0,11.0,0.0
Other Qatar,Qatar,4.8294,4.8294,0.0,0.03128,0.03128,0.0,4.84504,4.84504,0.0,18.0,18.0,0.0
Other Saudi Arabia,Saudi Arabia,4.36264,4.36264,0.0,0.0228,0.0228,0.0,4.37404,4.37404,0.0,24.0,24.0,0.0
Other Scotland,Scotland,5.42666,5.42666,0.0,0.04656,0.04656,0.0,5.44994,5.44994,0.0,9.0,9.0,0.0
Other Senegal,Senegal,4.39904,4.39904,0.0,0.02548,0.02548,0.0,4.41178,4.41178,0.0,23.0,23.0,0.0
Other South Africa,South Africa,3.46288,3.46288,0.0,0.00674,0.00674,0.0,3.46625,3.46625,0.0,42.0,42.0,0.0
Other South Korea,South Korea,3.7303,3.7303,0.0,0.00796,0.00796,0.0,3.73428,3.73428,0.0,36.0,36.0,0.0
Other Spain,Spain,5.84548,5.84548,0.0,0.05902,0.05902,0.0,5.87499,5.87499,0.0,3.0,3.0,0.0
Other Sweden,Sweden,1.85794,1.85794,0.0,0.00034,0.00034,0.0,1.85811,1.85811,0.0,61.0,61.0,0.0
Other Switzerland,Switzerland,6.01626,6.01626,0.0,0.06828,0.06828,0.0,6.0504,6.0504,0.0,1.0,1.0,0.0
Other Tunisia,Tunisia,4.58714,4.58714,0.0,0.02964,0.02964,0.0,4.60196,4.60196,0.0,21.0,21.0,0.0
Other Türkiye,Türkiye,5.98516,5.98516,0.0,0.07198,0.07198,0.0,6.02115,6.02115,0.0,2.0,2.0,0.0
Other USA,USA,3.96886,3.96886,0.0,0.01244,0.01244,0.0,3.97508,3.97508,0.0,29.0,29.0,0.0
Other Uruguay,Uruguay,5.04364,5.04364,0.0,0.03986,0.03986,0.0,5.06357,5.06357,0.0,15.0,15.0,0.0
Other Uzbekistan,Uzbekistan,4.01672,4.01672,0.0,0.01542,0.01542,0.0,4.024430000000001,4.024430000000001,0.0,27.0,27.0,0.0
Ousmane Dembele,France,1.09396,1.09396,0.0,0.0,0.0,0.0,1.09396,1.09396,0.0,86.0,86.0,0.0
Ousmane Diomande,Ivory Coast,0.2127,0.2127,0.0,0.0,0.0,0.0,0.2127,0.2127,0.0,95.0,95.0,0.0
Patrik Schick,Czechia,1.37684,1.37684,0.0,2e-05,2e-05,0.0,1.37685,1.37685,0.0,75.0,75.0,0.0
Rafael Leao,Portugal,1.04254,1.04254,0.0,0.0,0.0,0.0,1.04254,1.04254,0.0,88.0,88.0,0.0
Rodrygo,Brazil,1.27576,1.27576,0.0,0.0,0.0,0.0,1.27576,1.27576,0.0,79.0,79.0,0.0
Romelu Lukaku,Belgium,1.90012,1.90012,0.0,4e-05,4e-05,0.0,1.90014,1.90014,0.0,58.0,58.0,0.0
Sadio Mane,Senegal,1.53168,1.53168,0.0,0.0,0.0,0.0,1.53168,1.53168,0.0,71.0,71.0,0.0
Santiago Gimenez,Mexico,0.97056,0.97056,0.0,0.0,0.0,0.0,0.97056,0.97056,0.0,89.0,89.0,0.0
Son Heung-min,South Korea,2.36018,2.36018,0.0,0.00056,0.00056,0.0,2.36046,2.36046,0.0,52.0,52.0,0.0
Viktor Gyokeres,Sweden,1.55308,1.55308,0.0,8e-05,8e-05,0.0,1.55312,1.55312,0.0,69.0,69.0,0.0
Vinicius Junior,Brazil,1.84176,1.84176,0.0,8e-05,8e-05,0.0,1.8418,1.8418,0.0,62.0,62.0,0.0
Youssef En-Nesyri,Morocco,1.44042,1.44042,0.0,2e-05,2e-05,0.0,1.44043,1.44043,0.0,73.0,73.0,0.0
